features_sorted,feature_names_EWRE
2624,humour
2794,insect
2770,infestation
2752,individuality
1517,disarray
3425,missing
2682,immunocompromised
1528,disconnect
895,chirp
4167,proactively
5397,suspiciously
5403,swan
5802,unimportant
4623,riverside
3571,nest
3076,leeway
4121,prefers
1998,farmland
1365,decisive
270,approve
5380,surge
1461,devastating
4686,sacred
2118,flout
378,avalanche
4310,rambling
5482,telephonic
271,approx
2474,hazard
3956,physio
4650,rota
1962,fabric
930,citizen
1740,election
1194,coping
5897,vegetable
1960,eyebrow
3527,name
5618,tool
4092,pour
5001,skincare
5941,virtue
796,carve
3939,petulant
995,coincide
132,aimlessly
2841,interested
2079,fitness
5722,turkey
2345,gotten
1501,dip
2679,imminent
3860,passionate
1791,endure
1239,coworkers
5651,traffic
2710,improvement
4702,salad
258,apple
25,accent
5636,tour
1679,duration
1434,desert
2236,fulfil
392,awful
4589,revert
5639,towards
6099,woke
1006,collection
1037,communication
705,burger
5052,snack
3780,oversensitive
3492,mourn
5161,spoke
2384,greedy
1963,fabulous
3299,matchup
4022,pleasure
3221,magazine
3719,operate
2647,ideal
4135,presentation
6163,zero
983,coat
2469,hate
3962,pic
4593,revise
1747,elevator
3809,paint
599,boot
314,asia
3516,music
787,caring
3212,lung
717,busyness
5485,telly
2108,flood
2413,guardian
2260,galaxy
4291,quran
3694,officially
6152,yet
4319,rape
5144,speech
1677,dump
2240,fume
4472,religious
742,caller
1476,dick
4744,scammed
6144,yea
5437,tactfully
415,baggage
4245,puffy
512,besides
5716,tumbleweed
283,archive
3401,mindless
4653,rotator
3049,lawnmower
1808,enormous
608,borrow
1828,equal
5519,texts
2453,happily
4528,resemble
1849,established
1987,familiar
5709,try
2274,gas
3845,participant
6004,washing
436,bare
3536,native
1243,craig
182,amazon
1696,easily
3952,physic
3811,pakistani
5650,traditional
5955,viva
1549,dishwasher
5637,tourism
2956,june
329,assignment
385,awaited
4561,restart
5143,specimen
1704,ebola
401,backlog
5971,waisted
1926,expectant
5945,viscous
2753,individually
4226,proven
1140,consultants
5292,struck
3756,outlook
5498,tender
2819,instrumental
2365,grandpa
4338,reader
